"","Cond1","Cond2","jaccard_distance","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"1","RVSV ZEBOV (D7)","LVS F TULARENSIS (H18)",0.011,1,9,77,10,78,"LAMP3",10,1.28,1.94963393418533e-11,10.7100469246824
"2","RVSV ZEBOV (D7)","LVS F TULARENSIS (H192)",0.011,1,9,77,10,78,"LAMP3",10,1.28,1.94963393418533e-11,10.7100469246824
"3","RVSV ZEBOV (D7)","LVS F TULARENSIS (H336)",0.011,1,9,77,10,78,"LAMP3",10,1.28,1.94963393418533e-11,10.7100469246824
"4","RVSV ZEBOV (D7)","LVS F TULARENSIS (H48)",0.011,1,9,77,10,78,"LAMP3",10,1.28,1.94963393418533e-11,10.7100469246824
"5","RVSV ZEBOV (D7)","CN54GP140 (D1)",0,0,10,172,10,174,"",0,0,1.17043741786828e-16,15.9316518026432
"6","RVSV ZEBOV (D7)","CN54GP140 (D3)",0,0,10,74,10,74,"",0,0,3.62184217280917e-13,12.4410704786414
"7","RVSV ZEBOV (D7)","CN54GP140 (D7)",0,0,10,49,10,49,"",0,0,1.5916380099863e-11,10.7981556979937
"8","RVSV ZEBOV (D7)","CN54GP140 (H6)",0,0,10,100,10,100,"",0,0,2.13230361269134e-14,13.6711509572774
"9","RVSV ZEBOV (D7)","HIV-1 GAG-POL NEF (D1)",0.004,8,2,2018,10,2029,"CCL2, CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2, USP18",80,0.39,2.18937830413678e-05,4.65967918991498
"10","RVSV ZEBOV (D7)","HIV-1 GAG-POL NEF (D3)",0.034,5,5,137,10,142,"CXCL10, HERC5, IFIT1, RSAD2, USP18",50,3.52,4.71894661786016e-07,6.32615493549873
"11","RVSV ZEBOV (D7)","HPV-VLP (M2)",0.002,1,9,609,10,612,"LAMP3",10,0.16,2.88350984640249e-19,18.5400785612529
"12","RVSV ZEBOV (D7)","INFLUENZA (D1)",0,0,10,26,10,26,"",0,0,3.934113729311e-09,8.40515308943492
"13","RVSV ZEBOV (D7)","PANDEMRIX (D1)",0,0,10,21,10,21,"",0,0,2.25468136673824e-08,7.64691482427156
"14","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D3)",0,0,10,1055,10,1061,"",0,0,2.01684365607668e-24,23.6953277666037
"15","RVSV ZEBOV (D7)","INFLUENZA (D3)",0,0,10,40,10,40,"",0,0,9.73493886604907e-11,10.0116667714394
"16","RVSV ZEBOV (D7)","PANDEMRIX (D3)",0,0,10,5,10,5,"",0,0,0.000333000333000333,3.47755533219898
"17","RVSV ZEBOV (D7)","PANDEMRIX (D30)",0,0,10,6,10,6,"",0,0,0.000124875124875125,3.90352406447126
"18","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D7)",0,0,10,848,10,860,"",0,0,1.76909995330149e-23,22.7522476289665
"19","RVSV ZEBOV (D7)","INFLUENZA (D7)",0,0,10,72,10,72,"",0,0,4.67446938704657e-13,12.3302676800548
"20","RVSV ZEBOV (D7)","PANDEMRIX (D7)",0.049,2,8,31,10,33,"CXCL10, IFIT1",20,6.06,4.70966264215528e-07,6.32701020070501
"21","RVSV ZEBOV (D7)","INACTIVATED INFLUENZA (D0)",0,0,10,5,10,5,"",0,0,0.000333000333000333,3.47755533219898
"22","RVSV ZEBOV (D7)","FLUZONE (D1)",0,0,10,12,10,13,"",0,0,1.54644117492415e-06,5.8106665954744
"23","RVSV ZEBOV (D7)","FLUZONE (D30)",0,0,10,16,10,16,"",0,0,1.88262403903809e-07,6.72523640014978
