Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
RVSV ZEBOV (D7),LVS F TULARENSIS (H18),0.011,1,9,78,10,79,LAMP3,10,1.27,1.7502395545527195e-11,10.756902505542122
RVSV ZEBOV (D7),LVS F TULARENSIS (H192),0.011,1,9,78,10,79,LAMP3,10,1.27,1.7502395545527195e-11,10.756902505542122
RVSV ZEBOV (D7),LVS F TULARENSIS (H336),0.011,1,9,78,10,79,LAMP3,10,1.27,1.7502395545527195e-11,10.756902505542122
RVSV ZEBOV (D7),LVS F TULARENSIS (H48),0.011,1,9,78,10,79,LAMP3,10,1.27,1.7502395545527195e-11,10.756902505542122
RVSV ZEBOV (D7),CN54GP140 (D1),0,0,10,176,10,176,,0,0,9.365709434018417e-17,16.02845932009226
RVSV ZEBOV (D7),CN54GP140 (D3),0,0,10,76,10,76,,0,0,2.8241450595092093e-13,12.549112999926736
RVSV ZEBOV (D7),CN54GP140 (D7),0,0,10,51,10,51,,0,0,1.1089281217117563e-11,10.955096602954193
RVSV ZEBOV (D7),CN54GP140 (H6),0,0,10,101,10,101,,0,0,1.940204188124557e-14,13.712152562281448
RVSV ZEBOV (D7),HIV-1 GAG-POL NEF (D1),0.004,8,2,2010,10,2018,"CCL2, CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2, USP18",80,0.4,2.2067585659011377e-5,4.656245178950944
RVSV ZEBOV (D7),HIV-1 GAG-POL NEF (D3),0.034,5,5,139,10,144,"CXCL10, HERC5, IFIT1, RSAD2, USP18",50,3.47,4.4065186266541346e-7,6.35590438974565
RVSV ZEBOV (D7),HPV-VLP (M2),0.002,1,9,609,10,610,LAMP3,10,0.16,2.8835098464024915e-19,18.540078561252923
RVSV ZEBOV (D7),INFLUENZA (D1),0,0,10,36,10,36,,0,0,2.453174768411303e-10,9.610271510801802
RVSV ZEBOV (D7),PANDEMRIX (D1),0,0,10,22,10,22,,0,0,1.550093439632542e-8,7.809642121769264
RVSV ZEBOV (D7),FLUARIX FLUVIRIN (D3),0,0,10,1057,10,1057,,0,0,1.9791992366628555e-24,23.703510485213528
RVSV ZEBOV (D7),INFLUENZA (D3),0,0,10,43,10,43,,0,0,5.128441925463652e-11,10.290014558075672
RVSV ZEBOV (D7),FLUARIX FLUVIRIN (D7),0,0,10,857,10,857,,0,0,1.5929277479967104e-23,22.797803922477563
RVSV ZEBOV (D7),INFLUENZA (D7),0,0,10,80,10,80,,0,0,1.7480544864446692e-13,12.757445034634415
RVSV ZEBOV (D7),PANDEMRIX (D7),0.049,2,8,31,10,33,"CXCL10, IFIT1",20,6.06,4.709662642155281e-7,6.327010200705008
RVSV ZEBOV (D7),INACTIVATED INFLUENZA (D0),0,0,10,5,10,5,,0,0,3.330003330003333e-4,3.4775553321989805
RVSV ZEBOV (D7),FLUMIST (D3),0,0,10,1241,10,1241,,0,0,4.0072988741420222e-25,24.397148265615673
RVSV ZEBOV (D7),FLUMIST (D7),0,0,10,2387,10,2387,,0,0,5.905364352254206e-28,27.228753301896038
RVSV ZEBOV (D7),MENACTRA (D3),0,0,10,46,10,46,,0,0,2.8084324829919947e-11,10.55153601245598
RVSV ZEBOV (D7),MENACTRA (D7),0,0,10,14,10,14,,0,0,5.098773439061506e-7,6.292534285218526
RVSV ZEBOV (D7),WETVAX (D2-4),0.037,4,6,97,10,101,"CXCL10, HERC5, IFIT1, RSAD2",40,3.96,1.1619892583698831e-7,6.934797886620601
RVSV ZEBOV (D7),WETVAX (D5-7),0.013,6,4,468,10,474,"CXCL10, HERC5, IFIT1, ISG15, RSAD2, USP18",60,1.27,9.776506614662147e-8,7.0098163015520685
RVSV ZEBOV (D7),WETVAX (D50-60),0,0,10,312,10,312,,0,0,3.4874136507205416e-19,18.45749653683085
RVSV ZEBOV (D7),MVA85A (D2),0.07,5,5,61,10,66,"CCL2, CXCL10, IFIT1, ISG15, RSAD2",50,7.58,1.9354973986377307e-5,4.713207408048482
RVSV ZEBOV (D7),ZOSTAVAX (D1),0,0,10,14,10,14,,0,0,5.098773439061506e-7,6.292534285218526
RVSV ZEBOV (D7),ZOSTAVAX (D3),0,0,10,7,10,7,,0,0,5.1419169066227804e-5,4.28887494583528
RVSV ZEBOV (D7),YF VAX (ANY),0,0,10,29,10,29,,0,0,1.572956731250952e-9,8.803283223745057
RVSV ZEBOV (D7),YF17D (D3),0.12,6,4,40,10,46,"CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2",60,13.04,9.118541033434649e-4,3.040074643230312
RVSV ZEBOV (D7),YF VAX (D4-7),0.007,4,6,602,10,606,"HERC5, IFIT1, ISG15, USP18",40,0.66,2.9493055004803887e-12,11.53028023921456
RVSV ZEBOV (D7),STAMARIL (D10),0.013,4,6,300,10,304,"HERC5, IFIT1, ISG15, RSAD2",40,1.32,1.7886330862591127e-10,9.747478739899918
RVSV ZEBOV (D7),STAMARIL (D14),0,0,10,70,10,70,,0,0,6.073518323310499e-13,12.216559653942822
RVSV ZEBOV (D7),STAMARIL (D28),0,0,10,40,10,40,,0,0,9.73493886604907e-11,10.01166677143937
RVSV ZEBOV (D7),STAMARIL (D3),0.012,4,6,321,10,325,"HERC5, IFIT1, ISG15, RSAD2",40,1.23,1.203302345179814e-10,9.919625236878296
RVSV ZEBOV (D7),STAMARIL (D60),0,0,10,84,10,84,,0,0,1.1060409160874144e-13,12.956228806754375
RVSV ZEBOV (D7),STAMARIL (D7),0.012,6,4,478,10,484,"CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2",60,1.24,8.997124814529101e-8,7.045896254636376
RVSV ZEBOV (D7),"BBIBP (V3, D14)",0,0,10,44,10,44,,0,0,4.178730457785172e-11,10.378955641412455
RVSV ZEBOV (D7),"BBIBP (V3, D28)",0,0,10,16,10,16,,0,0,1.8826240390380943e-7,6.725236400149776
RVSV ZEBOV (D7),"BNT (V1, D6)",0,0,10,3,10,3,,0,0,0.0034965034965034982,2.4563660331290427
RVSV ZEBOV (D7),"BNT (V2, D1)",0.015,8,2,531,10,539,"CCL2, CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2, USP18",80,1.48,3.080714725816406e-4,3.511348515490211
RVSV ZEBOV (D7),"BNT (V3, D1)",0.015,8,2,509,10,517,"CCL2, CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2, USP18",80,1.55,3.3476912089628675e-4,3.4752546081543683
RVSV ZEBOV (D7),BNT-I (D1),0,0,10,1101,10,1101,,0,0,1.319056755215875e-24,23.879736517609974
